Name,Type,Quantity,Attachments,Value,Total Value
Midi Cable,Audio Equipment,2,2018-05-17 15.35.17.jpg (https://dl.airtable.com/ikbxg8GRNqsX5usQWyuA_camera.jpg),$5,$10
XLR Distribution Snake,Audio Equipment,1,2018-05-17 16.17.19.jpg (https://dl.airtable.com/VQBInmUMS0Itdfb25YUQ_camera.jpg),$100,$100
LP Record Player,Audio Equipment,1,2018-05-17 16.20.57.jpg (https://dl.airtable.com/duY7KP9CTluk65UkApyY_camera.jpg),$100,$100
Record Player Accessories,Audio Equipment,1,2018-05-17 16.21.55.jpg (https://dl.airtable.com/fqr4ahPT6GUYwteHI4IA_camera.jpg),$15,$15
LP Records,Audio Equipment,10,2018-05-17 16.22.57.jpg (https://dl.airtable.com/gqEqeLYGSeyASpznb69N_camera.jpg),$20,$200
Snare Drum Head,Audio Equipment,1,2018-05-17 16.23.48.jpg (https://dl.airtable.com/RrWux7O8QA2nEv0vyMSw_camera.jpg),$5,$5
Audio Accessories,Audio Equipment,8,2018-05-17 16.25.57.jpg (https://dl.airtable.com/S7wQrunURJWXZXyFsF8B_camera.jpg),$2,$16
Audio Accessories,Audio Equipment,12,2018-05-17 16.28.11.jpg (https://dl.airtable.com/B4EsqxfoQ9iv3Lt8o9Bm_camera.jpg),$2,$18
Sonos Connect,Audio Equipment,1,2018-05-17 16.30.11.jpg (https://dl.airtable.com/O0ZnV0sQTySMr39Vw54o_camera.jpg),$250,$250
Vic Firth Noice Cancelling Headphones,Audio Equipment,1,2018-05-17 16.31.08.jpg (https://dl.airtable.com/5PVbN76Se6NTOgPYlxUw_camera.jpg),$40,$40
Alto Loud Speaker,Audio Equipment,2,2018-05-17 16.38.53.jpg (https://dl.airtable.com/CdSEzztmS1KoyvRPLZAv_camera.jpg),$300,$600
Rode Condenser Microphone,Audio Equipment,1,2018-05-17 17.11.06.jpg (https://dl.airtable.com/u4obtiISWys2bPkQoFTn_camera.jpg),$150,$150
Shure Wireless Monitoring System,Audio Equipment,1,2018-05-17 17.12.00.jpg (https://dl.airtable.com/BAnoPdfTQxCux3a1Gq3p_camera.jpg),$200,$200
XLR Audio Cable,Audio Equipment,11,2018-05-17 17.13.48.jpg (https://dl.airtable.com/iHsCpry8QeWfEbEJLKjV_camera.jpg),$20,$220
Drumming Microphone System,Audio Equipment,1,2018-05-17 17.15.33.jpg (https://dl.airtable.com/AwaRds4KTHPjGlHhs5Jg_camera.jpg),$250,$250
Rode Paired NT5,Audio Equipment,1,2018-05-17 17.17.07.jpg (https://dl.airtable.com/NoFEsJyHSd6zqqkfrnpH_camera.jpg),$300,$300
Assorted Audio Accessories,Audio Equipment,100,2018-05-17 17.18.32.jpg (https://dl.airtable.com/DQB6l9mKRcOWpvynxstT_camera.jpg),$1,$100
Roland PM-10 Personal Monitor,Audio Equipment,1,2018-05-17 17.24.48.jpg (https://dl.airtable.com/lHCIJaqhQVC94hdU5xEq_camera.jpg),$80,$80
Yamaha Digital Soundboard and Bag,Audio Equipment,1,2018-05-17 17.26.44.jpg (https://dl.airtable.com/akOZnheiR8GYsEI5KcaN_camera.jpg),$500,$500
Alto Soundboard,Audio Equipment,1,2018-05-17 17.31.14.jpg (https://dl.airtable.com/EpZ8etjZS02AM6KXRqSk_camera.jpg),$200,$200
Broadcaster Microphone,Audio Equipment,1,2018-05-17 20.09.32.jpg (https://dl.airtable.com/fUpjLXzGQb6eIuMZLAxU_camera.jpg),$50,$50
Microphone Stand,Audio Equipment,1,2018-05-17 20.10.07.jpg (https://dl.airtable.com/o36UfNbqTBqodCoHErcH_camera.jpg),$15,$15
Audio Soundboard Stand,Audio Equipment,1,2018-05-17 20.11.41.jpg (https://dl.airtable.com/DZ2IRqrRpOWtGDXk51gH_camera.jpg),$25,$25
Zoom Tac 8 Audio Interface,Audio Equipment,1,2018-05-18 14.36.16.jpg (https://dl.airtable.com/0fBEq4HdRXOFiJtZhCVH_camera.jpg),$300,$300
Beringer Audio Interface,Audio Equipment,1,2018-05-18 14.37.11.jpg (https://dl.airtable.com/kyU473YRUG0sux2papww_camera.jpg),$150,$150
Shure Personal Monitor System,Audio Equipment,1,2018-05-18 14.37.55.jpg (https://dl.airtable.com/kXVkiqLMR4GkqgIkhEgG_camera.jpg),$200,$200
Sonos Play:1,Audio Equipment,3,2018-05-18 14.40.04.jpg (https://dl.airtable.com/s5duZUITWumyN7ZvUALg_camera.jpg),$150,$450
Beats Headphones,Audio Equipment,1,2018-05-18 15.04.10.jpg (https://dl.airtable.com/YqoA0H6Rd2WgIgixHQ4b_camera.jpg),$100,$100
Beats Pill Speaker,Audio Equipment,1,2018-05-18 15.07.19.jpg (https://dl.airtable.com/S6TtHHDRQeCrsRikb88m_camera.jpg),$150,$150
Mogami Distribution Snake,Audio Equipment,1,2018-05-18 15.27.43.jpg (https://dl.airtable.com/ey9sapSJTeWlqFPeHioL_camera.jpg),$100,$100
XLR to TRS Cables,Audio Equipment,16,2018-05-18 15.29.00.jpg (https://dl.airtable.com/je42HZZCRa2EPH36rRsV_camera.jpg),$15,$240
Sonos Boost,Audio Equipment,1,2018-05-18 15.31.23.jpg (https://dl.airtable.com/p5scX1IOT3ekUhck6yFN_camera.jpg),$50,$50
Shure Microphone,Audio Equipment,4,2018-05-18 15.31.57.jpg (https://dl.airtable.com/1US66ClFQLmibXXQjJ6t_camera.jpg),$50,$200
Sonos Sub,Audio Equipment,1,2018-05-18 15.36.50.jpg (https://dl.airtable.com/ydHK0p6HSz2ORLp3S8eJ_camera.jpg),$300,$300
Sonos Playbar,Audio Equipment,1,2018-05-18 15.37.19.jpg (https://dl.airtable.com/zhotPwpSTlqqVGrgOyt7_camera.jpg),$300,$300
Sonos Play:5,Audio Equipment,1,2018-05-18 15.37.47.jpg (https://dl.airtable.com/WMiuixs0QV2JMTzBnj37_camera.jpg),$300,$300
Alto Subwoofer,Audio Equipment,1,2018-05-18 15.38.19.jpg (https://dl.airtable.com/7ziuZJaqTMKOLd3rHcLD_camera.jpg),$150,$150
Alto Loudspeaker,Audio Equipment,2,"2018-05-18 15.39.01.jpg (https://dl.airtable.com/yteY2xiJSd7CfcPy7MKT_camera.jpg),2018-05-18 15.39.09.jpg (https://dl.airtable.com/ul7gwXwUR5Gr91JpqV6N_camera.jpg)",$150,$300
Broadcaster Push-to-Speak,Audio Equipment,1,2018-05-18 15.50.45.jpg (https://dl.airtable.com/tmouXJoQziLHVoFtlzmn_camera.jpg),$20,$20
XLR ends,Audio Equipment,8,2018-05-18 15.54.03.jpg (https://dl.airtable.com/AW7lshSGtrS1fhBKowAo_camera.jpg),$1,$8
Assorted Baby Toys,Baby,6,2018-05-17 17.47.21.jpg (https://dl.airtable.com/F2UHimc5SLu5Ex04sggQ_camera.jpg),$5,$30
Assorted Baby Toys,Baby,10,2018-05-17 17.48.30.jpg (https://dl.airtable.com/b4qIoC9eTx2w2KQkuV9I_camera.jpg),$5,$50
Baby Mobile,Baby,1,2018-05-17 17.49.29.jpg (https://dl.airtable.com/KnDld2nQD6Lwzd2R9RBg_camera.jpg),$10,$10
Baby Linens,Baby,6,2018-05-17 17.50.01.jpg (https://dl.airtable.com/7IVTkVwORgOPKYVDI7Xf_camera.jpg),$10,$60
Freestyle Breastfeeding System and Accessories,Baby,1,2018-05-17 17.51.33.jpg (https://dl.airtable.com/nCwS0STjQCGvydcZabKx_camera.jpg),$200,$200
Baby Swaddles,Baby,3,2018-05-17 19.27.00.jpg (https://dl.airtable.com/N55GudocQ0Kn9gzKvIvb_camera.jpg),$5,$15
Little Squeeze Food Packages,Baby,6,2018-05-17 19.27.43.jpg (https://dl.airtable.com/ReFYcUqFT9SlYVjvyalh_camera.jpg),$2,$12
Bassinet and Stand,Baby,1,2018-05-17 19.57.47.jpg (https://dl.airtable.com/UqCWiiJ8Tl2P4qUT8BTj_camera.jpg),$50,$50
Baby Linen,Baby,1,2018-05-17 20.04.41.jpg (https://dl.airtable.com/rqVp76TFRVqWQmVQIMa1_camera.jpg),$20,$20
Bumbo Baby Seat,Baby,1,2018-05-18 14.29.59.jpg (https://dl.airtable.com/JUANgAtjRzaI1vVkh24W_camera.jpg),$15,$15
Children’s Toys,Baby,10,2018-05-18 14.30.40.jpg (https://dl.airtable.com/ZdtMmjOrQahWydUoYOXG_camera.jpg),$5,$50
