Neighbourhood Description (Occurrence),UCR Violation Type Group (Incident),Incident Reported Year,Incident Reported Quarter,Incident Reported Month,# Incidents
ABBOTTSFIELD,Assault,2009,Q1,1,3
ABBOTTSFIELD,Assault,2009,Q1,2,5
ABBOTTSFIELD,Assault,2009,Q1,3,2
ABBOTTSFIELD,Assault,2009,Q2,4,2
ABBOTTSFIELD,Assault,2009,Q2,5,6
ABBOTTSFIELD,Assault,2009,Q2,6,4
ABBOTTSFIELD,Assault,2009,Q3,8,3
ABBOTTSFIELD,Assault,2009,Q3,9,4
ABBOTTSFIELD,Assault,2009,Q4,10,4
ABBOTTSFIELD,Assault,2009,Q4,11,6
ABBOTTSFIELD,Assault,2009,Q4,12,3
ABBOTTSFIELD,Break and Enter,2009,Q1,1,2
ABBOTTSFIELD,Break and Enter,2009,Q1,3,3
ABBOTTSFIELD,Break and Enter,2009,Q2,4,1
ABBOTTSFIELD,Break and Enter,2009,Q2,5,1
ABBOTTSFIELD,Break and Enter,2009,Q2,6,2
ABBOTTSFIELD,Break and Enter,2009,Q3,7,1
ABBOTTSFIELD,Break and Enter,2009,Q3,8,1
ABBOTTSFIELD,Break and Enter,2009,Q3,9,1
ABBOTTSFIELD,Break and Enter,2009,Q4,12,2
ABBOTTSFIELD,Robbery,2009,Q1,1,1
ABBOTTSFIELD,Robbery,2009,Q1,2,2
ABBOTTSFIELD,Robbery,2009,Q1,3,2
ABBOTTSFIELD,Robbery,2009,Q2,5,4
ABBOTTSFIELD,Robbery,2009,Q2,6,2
ABBOTTSFIELD,Robbery,2009,Q3,9,1
ABBOTTSFIELD,Robbery,2009,Q4,10,4
ABBOTTSFIELD,Robbery,2009,Q4,11,2
ABBOTTSFIELD,Robbery,2009,Q4,12,1
ABBOTTSFIELD,Sexual Assaults,2009,Q1,1,1
ABBOTTSFIELD,Sexual Assaults,2009,Q1,2,1
ABBOTTSFIELD,Sexual Assaults,2009,Q1,3,1
ABBOTTSFIELD,Sexual Assaults,2009,Q2,6,1
ABBOTTSFIELD,Theft From Vehicle,2009,Q1,1,4
ABBOTTSFIELD,Theft From Vehicle,2009,Q1,3,2
ABBOTTSFIELD,Theft From Vehicle,2009,Q2,4,4
ABBOTTSFIELD,Theft From Vehicle,2009,Q2,5,3
ABBOTTSFIELD,Theft From Vehicle,2009,Q2,6,3
ABBOTTSFIELD,Theft From Vehicle,2009,Q3,7,1
ABBOTTSFIELD,Theft From Vehicle,2009,Q3,9,1
ABBOTTSFIELD,Theft Of Vehicle,2009,Q1,1,5
ABBOTTSFIELD,Theft Of Vehicle,2009,Q1,2,1
ABBOTTSFIELD,Theft Of Vehicle,2009,Q1,3,5
ABBOTTSFIELD,Theft Of Vehicle,2009,Q2,4,1
ABBOTTSFIELD,Theft Of Vehicle,2009,Q2,5,1
ABBOTTSFIELD,Theft Of Vehicle,2009,Q4,11,1
ABBOTTSFIELD,Theft Of Vehicle,2009,Q4,12,1
ALBERTA AVENUE,Assault,2009,Q1,1,11
ALBERTA AVENUE,Assault,2009,Q1,2,7
ALBERTA AVENUE,Assault,2009,Q1,3,20
ALBERTA AVENUE,Assault,2009,Q2,4,9
ALBERTA AVENUE,Assault,2009,Q2,5,10
ALBERTA AVENUE,Assault,2009,Q2,6,11
ALBERTA AVENUE,Assault,2009,Q3,7,7
