Neighbourhood ID,Neighbourhood,Animal/Insect Type,Status Code,Status Description,Created Date,Completed Date,Issue Date,Number of Hens,Neighbours Informed,Registered with Provincial APICult,Nbhd Centre Latitude,Nbhd Centre Longitude,Nbhd Centre Geo Location
3470,Carlton,Hens,CANCEL,Cancelled,06/22/2016 09:08:42 AM,10/25/2016 05:12:39 PM,,3,N,N,53.62165,-113.55936,"(53.62165146983822, -113.5593587287807)"
5350,Rhatigan Ridge,Bees,ISSUED,Issued,04/10/2016 07:53:11 PM,04/25/2016 05:21:21 PM,04/25/2016 12:00:00 AM,,Y,Y,53.47451,-113.58763,"(53.47451461721056, -113.58762510129115)"
2550,Montrose,Hens,ISSUED,Issued,04/28/2016 08:25:01 AM,07/05/2016 01:14:58 PM,07/05/2016 12:00:00 AM,8,Y,N,53.57512,-113.44220,"(53.57511738748691, -113.44219933573166)"
6550,Ottewell,Bees,ISSUED,Issued,01/04/2017 08:52:18 PM,01/16/2017 02:54:44 PM,01/16/2017 12:00:00 AM,,Y,Y,53.53134,-113.43075,"(53.53134376415048, -113.43074604760109)"
6662,Walker,Hens,ISSUED,Issued,10/10/2016 12:48:40 PM,10/17/2016 01:57:37 PM,10/17/2016 12:00:00 AM,5,Y,N,53.41767,-113.43044,"(53.41767254622824, -113.43043554360622)"
5290,McKernan,Bees,ISSUED,Issued,06/13/2016 05:48:30 PM,06/14/2016 02:34:02 PM,06/14/2016 12:00:00 AM,,Y,Y,53.51273,-113.52044,"(53.51272851151938, -113.52044197947863)"
6010,Argyll,Bees,ISSUED,Issued,08/26/2016 10:01:33 AM,08/31/2016 10:56:30 AM,08/31/2016 12:00:00 AM,,Y,Y,53.50309,-113.46051,"(53.50308603162928, -113.46050577069063)"
3382,River Valley Laurier,Bees,ISSUED,Issued,03/14/2016 01:58:43 PM,04/26/2016 12:33:14 PM,04/26/2016 12:00:00 AM,,Y,Y,53.51049,-113.55344,"(53.51048523254928, -113.55344261095905)"
2600,Ozerna,Bees,ISSUED,Issued,03/19/2016 05:34:35 PM,04/25/2016 06:20:39 PM,04/25/2016 12:00:00 AM,,Y,Y,53.62228,-113.44897,"(53.62227532423976, -113.44897260635014)"
5280,Malmo Plains,Bees,ISSUED,Issued,05/02/2016 11:18:51 AM,05/02/2016 11:58:40 AM,05/02/2016 12:00:00 AM,,Y,Y,53.48564,-113.52899,"(53.485639847965736, -113.52899268075193)"
5580,Windsor Park,Bees,ISSUED,Issued,03/19/2017 01:53:47 PM,03/23/2017 07:42:53 AM,03/23/2017 12:00:00 AM,,Y,Y,53.52418,-113.53685,"(53.52417761053836, -113.53684717900765)"
2340,Hollick-Kenyon,Bees,ISSUED,Issued,05/03/2017 02:53:14 PM,05/16/2017 09:47:29 AM,05/16/2017 12:00:00 AM,,Y,Y,53.62224,-113.42232,"(53.62224497002261, -113.42231558564797)"
