DETAILS_PDF_FILE,FEATURED,DESCRIPTION,STATUS,CATEGORY,ASKING_PRICE,AREA,UNIT_OF_MEASURE,NEIGHBOURHOOD,LATITUDE,LONGITUDE,LOCATION,ICON
http://webdocs.edmonton.ca/landsales/ici_catalogue/SP_L10_B1-Listing.pdf,N,"Station Pointe - 560 - BELVEDERE WAY NW   Lot 10, Block 1, Plan 0924862",Pending,Multi Family,2275000,2.17,Acres,BELVEDERE,53.584638942577065,-113.44066083021166,"(53.584638942577065, -113.44066083021166)",https://data.edmonton.ca/api/assets/046B975E-0571-427D-BF47-223B67C69C76
http://webdocs.edmonton.ca/landsales/ici_catalogue/.pdf,N,12770 - VICTORIA TRAIL NW,Pending,Multi Family,2500000,3.19,Acres,OVERLANDERS,53.58326532528748,-113.38467925744936,"(53.58326532528748, -113.38467925744936)",https://data.edmonton.ca/api/assets/046B975E-0571-427D-BF47-223B67C69C76
http://webdocs.edmonton.ca/landsales/ici_catalogue/8163ET-49-11-28.pdf,N,8019 - 105 STREET NW,Pending,Commercial,13250000,2.16,Acres,QUEEN ALEXANDRA,53.516408068011145,-113.5002124821763,"(53.516408068011145, -113.5002124821763)",https://data.edmonton.ca/api/assets/668D5841-B593-4DAE-8C4F-FAEF246A1D8B
http://webdocs.edmonton.ca/landsales/ici_catalogue/SP_L1_B1-Listing.pdf,N,"Station Pointe - 504 - BELVEDERE WAY NW  Lot 1, Block 1, Plan 0924862",Listed,Multi Family,3860000,2.17,Acres,BELVEDERE,53.58712662021122,-113.43654005381752,"(53.58712662021122, -113.43654005381752)",https://data.edmonton.ca/api/assets/046B975E-0571-427D-BF47-223B67C69C76
http://webdocs.edmonton.ca/landsales/ici_catalogue/SP_L11_B1-Listing.pdf,N,"Station Pointe - 580 - BELVEDERE WAY NW, Lot 11, Block 1, Plan 0924862",Listed,Multi Family,2190000,2.66,Acres,BELVEDERE,53.58465475616839,-113.44200763654155,"(53.58465475616839, -113.44200763654155)",https://data.edmonton.ca/api/assets/046B975E-0571-427D-BF47-223B67C69C76
http://webdocs.edmonton.ca/landsales/ici_catalogue/Rampart-Listing.pdf,N,Rampart Industrial 14135 - 162 AVENUE NW,Listed,Industrial,3032000,3.98,Acres,RAMPART INDUSTRIAL,53.62248330404676,-113.56685497246983,"(53.62248330404676, -113.56685497246983)",https://data.edmonton.ca/api/assets/717A5D32-C1CD-4929-B9B6-B3256982873E
http://webdocs.edmonton.ca/landsales/ici_catalogue/.pdf,N,10215 - 95 STREET NW,Pending,Commercial,4375000,0.627,Acres,BOYLE STREET,53.54589346017995,-113.47866710694012,"(53.54589346017995, -113.47866710694012)",https://data.edmonton.ca/api/assets/668D5841-B593-4DAE-8C4F-FAEF246A1D8B
http://webdocs.edmonton.ca/landsales/ici_catalogue/oliver_listing.pdf,N,11206 - 100 AVENUE NW,Pending,Multi Family,1450000,0.168,Acres,OLIVER,53.539156901081846,-113.51430650994155,"(53.539156901081846, -113.51430650994155)",https://data.edmonton.ca/api/assets/046B975E-0571-427D-BF47-223B67C69C76
http://webdocs.edmonton.ca/landsales/ici_catalogue/SP_L1_B2-Listing.pdf,N,"Station Pointe - 504 Belvedere Way NW   Lot 1, Block 2, Plan 0924862",Listed,Multi Family,2650000,2.18,Acres,BELVEDERE,53.586554073624946,-113.43814606128959,"(53.586554073624946, -113.43814606128959)",https://data.edmonton.ca/api/assets/046B975E-0571-427D-BF47-223B67C69C76
http://webdocs.edmonton.ca/landsales/ici_catalogue/westmount_listing.pdf,N,10643 - 124 STREET NW,Pending,Commercial,659000,0.166,Acres,WESTMOUNT,53.55064924121833,-113.53539605326783,"(53.55064924121833, -113.53539605326783)",https://data.edmonton.ca/api/assets/668D5841-B593-4DAE-8C4F-FAEF246A1D8B
http://webdocs.edmonton.ca/landsales/ici_catalogue/Hollick-K-Listing.pdf,N,5218 - 157A AVENUE NW,Listed,Single Family Lots,177000,4739,Sq. Feet,HOLLICK-KENYON,53.61919912288067,-113.41797995286771,"(53.61919912288067, -113.41797995286771)",https://data.edmonton.ca/api/assets/2B3DFEA5-0BFF-4CEC-AD8E-86AAAAA75D9D
