NAME,Neighbourhood ID,Neighbourhood Name,LATITUDE,LONGITUDE,LOCATION
Charles Simmonds Park,5290,McKernan,53.515582,-113.531032,"(53.5155304884383, -113.5310040252186)"
High Park Community League Playground,4200,High Park,53.557300,-113.588494,"(53.55733656978511, -113.58855023447305)"
Maude Belle Park,6360,King Edward Park,53.513822,-113.441141,"(53.51380927041953, -113.44128232254008)"
St. Benedict School,4040,Belmead,53.526026,-113.634670,"(53.52592668309369, -113.63475528579211)"
Fulton PIace School,6240,Fulton Place,53.545365,-113.425499,"(53.54527973423801, -113.42548640967863)"
Gabrielle Roy School,6710,Strathearn,53.530178,-113.461940,"(53.53004255075588, -113.46201192707227)"
Balwin,2020,Balwin,53.591570,-113.449101,"(53.59147931677975, -113.44889537687578)"
Ralph Hopp Park,2020,Balwin,53.589379,-113.445525,"(53.589332317032984, -113.44566575523268)"
Granville Tot Lot,4551,Granville,53.507325,-113.679191,"(53.50735954514367, -113.67926645520461)"
Mother Teresa School,1020,Boyle Street,53.551993,-113.476072,"(53.55196859770456, -113.47606100765422)"
Duggan School,5160,Duggan,53.472311,-113.506031,"(53.47229181113546, -113.50591591407897)"
Prince Rupert School,1170,Prince Rupert,53.562130,-113.520023,"(53.562224500996805, -113.51979234543202)"
Walker Park,6662,Walker,53.414390,-113.436689,"(53.414277650184594, -113.4367314605484)"
King Edward Park,6360,King Edward Park,53.513596,-113.460794,"(53.51351491295979, -113.46074341988898)"
MacEwan,5452,MacEwan,53.429454,-113.530366,"(53.429432521113085, -113.53058112959656)"
Rundle Park,2650,River Valley Rundle,53.555114,-113.386152,"(53.55511422305574, -113.38624219675614)"
Belmead Park,4040,Belmead,53.525775,-113.636118,"(53.52585255204208, -113.63596645216612)"
Rosslyn Playground,3390,Rosslyn,53.594002,-113.512077,"(53.594053338409914, -113.51223064137682)"
Mt. Royal Sch,2330,Highlands,53.568424,-113.425072,"(53.56830075325048, -113.42493466543127)"
St Catherine,1180,Queen Mary Park,53.556163,-113.508946,"(53.55603992115013, -113.50905736031562)"
Eastwood Community League,1100,Eastwood,53.571207,-113.472379,"(53.57118719763599, -113.4722640197001)"
Silver Heights Park,6710,Strathearn,53.532780,-113.464483,"(53.532827503702066, -113.46446968830254)"
Father Lacombe,3260,Lauderdale,53.590790,-113.506355,"(53.590867350946255, -113.50607833797656)"
Calder School Playground,3070,Calder,53.588682,-113.526451,"(53.588729027371535, -113.5262969058033)"
Rutherford Park,5454,Rutherford,53.420042,-113.534372,"(53.42007612843531, -113.53442830999927)"
Kinsmen Park Junior,5390,River Valley Walterdale,53.526560,-113.508763,"(53.52658532703501, -113.5089026047799)"
Sister Annata Brockman,4461,The Hamptons,53.489989,-113.683470,"(53.48999312061813, -113.68353558775021)"
Lorelei Playground,3280,Lorelei,53.623141,-113.501684,"(53.623077462213374, -113.50160814744854)"
Kinsmen Park Senior,5390,River Valley Walterdale,53.526756,-113.508922,"(53.52675660299677, -113.50884170440895)"
Westridge Playground,4610,Westridge,53.506306,-113.605823,"(53.506346745589056, -113.60551813489333)"
Eastwood Community League,1100,Eastwood,53.570897,-113.472037,"(53.57095009926884, -113.47214243693512)"
Greenfield Community League,5220,Greenfield,53.473386,-113.525997,"(53.47336988873473, -113.52586108319016)"
Charles Simmonds Park,5290,McKernan,53.515266,-113.530939,"(53.51528199193906, -113.53089167486843)"
Kirkness School/Park,2430,Kirkness,53.611877,-113.385388,"(53.612011710443326, -113.38512536514006)"
Westglen,3440,Westmount,53.554950,-113.542522,"(53.55497002745571, -113.54248585198815)"
High Park School Playground,4200,High Park,53.556122,-113.586733,"(53.55626136965184, -113.58658825499714)"
,5454,Rutherford,53.420081,-113.535351,"(53.420154071392886, -113.53556741474338)"
St Pius X,3410,Sherbrooke,53.577433,-113.543997,"(53.57736006377106, -113.54399188686861)"
Ozerna Park,2600,Ozerna,53.620746,-113.448659,"(53.62077783204755, -113.44854779295088)"
McKee School,5170,Empire Park,53.487460,-113.509933,"(53.487360583428696, -113.50990543329098)"
Terwillegar Town Residents Assoc Playground,5640,Terwillegar Towne,53.453605,-113.584980,"(53.45352920268614, -113.58489025569921)"
Prince Charles Playground,3350,Prince Charles,53.574622,-113.537437,"(53.574538848653575, -113.53720208935518)"
Suder Greens,4730,Suder Greens,53.520937,-113.684548,"(53.52092748855026, -113.68452018039511)"
Mary Finlay Park,6230,Forest Heights,53.543464,-113.451607,"(53.5434747895967, -113.4515104708552)"
Haddow Park,5610,Haddow,53.453495,-113.597003,"(53.45365452587647, -113.59706451953079)"
Violet Archer Park,5310,Parkallen,53.506780,-113.513454,"(53.50685266452384, -113.51345121988587)"
Kilkenny Park/CL Barnett School,2410,Kilkenny,53.610053,-113.450794,"(53.61002841676212, -113.45069145491763)"
Parkallen,5310,Parkallen,53.503661,-113.518979,"(53.50367938124248, -113.51887442476823)"
St. Faith Tot Lot,1010,Alberta Avenue,53.569281,-113.483122,"(53.5693481276746, -113.4831632626682)"
Kinsmen Park Senior,5390,River Valley Walterdale,53.527155,-113.509300,"(53.527128039905094, -113.50929864267835)"
McQueen Playground,3300,McQueen,53.555704,-113.570655,"(53.55565634805145, -113.57088405738247)"
Mill Creek,6610,Ritchie,53.515696,-113.480801,"(53.51584101908051, -113.48059735783104)"
Kirkness School/Park,2430,Kirkness,53.611715,-113.385088,"(53.61174731026194, -113.38492653133221)"
Kinsmen Park Senior,5390,River Valley Walterdale,53.527071,-113.508490,"(53.527072924909376, -113.50855726241194)"
Windermere Park,5570,Windermere,53.427292,-113.622304,"(53.42739709292967, -113.62229031194184)"
