,contributors,coordinates,created_at,entities,extended_entities,favorite_count,favorited,filter_level,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,retweeted,retweeted_status,source,text,timestamp_ms,truncated,user
0,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",RT @bpolitics: .@krollbondrating's Christopher...,,,
1,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",RT @HeidiAlpine: @dmartosko Cruz video found.....,,,
2,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,et,,,,,,,,,"href=""http://www.facebook.com/twitter""",Njihuni me Zonjën Trump !!! | Ekskluzive https...,,,
3,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",Your an idiot she shouldn't have tried to grab...,,,
4,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @AlanLohner: The anti-American D.C. elites ...,,,
5,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @BIackPplTweets: Young Donald trump meets h...,,,
6,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",RT @trumpresearch: @WaitingInBagdad @thehill T...,,,
7,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""","RT @HouseCracka: 29,000+ PEOPLE WATCHING TRUMP...",,,
8,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @urfavandtrump: RT for Brendon Urie\nFav fo...,,,
9,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @trapgrampa: This is how I see #Trump every...,,,
10,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",RT @trumpresearch: @WaitingInBagdad @thehill T...,,,
11,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @Pjw20161951: NO KIDDING: #SleazyDonald jus...,,,
12,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @urfavandtrump: RT for Brendon Urie\nFav fo...,,,
13,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",RT @ggreenwald: The media spent all day claimi...,,,
14,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @Pjw20161951: NO KIDDING: #SleazyDonald jus...,,,
15,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @trapgrampa: This is how I see #Trump every...,,,
16,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @mitchellvii: So let me get this straight. ...,,,
17,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",Your an idiot she shouldn't have tried to grab...,,,
18,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @paulbenedict7: How #Trump Sacks RINO Stron...,,,
19,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @DRUDGE_REPORT: VIDEO:  Trump emotional mom...,,,
20,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,und,,,,,,,,,"href=""http://twitter.com/download/android""",#HillYes #ImWithHer #RollHillary @HillaryClint...,,,
21,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",RT @ggreenwald: The media spent all day claimi...,,,
22,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @DennisApgar: Thank God I seen Trump at fir...,,,
23,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @paulbenedict7: How #Trump Sacks RINO Stron...,,,
24,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @DRUDGE_REPORT: VIDEO:  Trump emotional mom...,,,
25,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/iphone""",RT @DennisApgar: Thank God I seen Trump at fir...,,,
26,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @mitchellvii: So let me get this straight. ...,,,
27,NaN,NaN,Tue Mar 29 0.98630787037037 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",Trump won't do a yes ma'am for this.  https://...,,,
28,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://www.twitter.com""",RT @sciam: Trump's idiosyncratic patterns of s...,,,
29,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,und,,,,,,,,,"href=""http://twitter.com/download/android""",#HillYes #ImWithHer #RollHillary @HillaryClint...,,,
30,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @Norsu2: Nightmare WI poll for Ted Cruz has...,,,
31,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com""",RT @thehill: WATCH: Protester pepper-sprayed p...,,,
32,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://www.twitter.com""",RT @sciam: Trump's idiosyncratic patterns of s...,,,
33,NaN,NaN,Tue Mar 29 0.986319444444444 +0000 2016,NaN,NaN,0,FALSE,,,,,,,,,,,en,,,,,,,,,"href=""http://twitter.com/download/android""",RT @ggreenwald: The media spent all day claimi...,,,
